Cycle,FaultName,Status,PlugInfo,SeqState
11,F_0x09,1,1,1
12,F_0x09,1,1,1
13,F_0x09,1,1,1
14,F_0x09,1,1,1
15,F_0x09,2,1,1
16,F_0x09,2,1,1
17,F_0x09,2,1,1
18,F_0x09,2,1,1
19,F_0x09,2,1,1
20,F_0x09,2,1,1
21,F_0x09,2,1,1
22,F_0x09,2,1,3
23,F_0x09,2,1,3
24,F_0x09,2,1,3
25,F_0x09,2,1,3
26,F_0x09,2,1,3
27,F_0x09,2,1,3
28,F_0x09,2,1,3
29,F_0x09,2,1,3
30,F_0x09,2,1,3
31,F_0x09,2,1,3
32,F_0x09,2,1,3
33,F_0x09,2,1,4
34,F_0x09,2,1,4
35,F_0x09,2,1,4
36,F_0x09,2,1,4
37,F_0x09,2,1,4
39,F_0x09,1,1,1
40,F_0x09,1,1,1
41,F_0x09,1,1,1
42,F_0x09,1,1,1
43,F_0x09,2,1,1
44,F_0x09,2,1,1
45,F_0x09,2,1,1
46,F_0x09,2,1,1
47,F_0x09,2,1,1
48,F_0x09,2,1,1
49,F_0x09,2,1,1
50,F_0x09,2,1,3
51,F_0x09,2,1,3
52,F_0x09,2,1,3
53,F_0x09,2,1,3
54,F_0x09,2,1,3
55,F_0x09,2,1,3
56,F_0x09,2,1,3
57,F_0x09,2,1,3
58,F_0x09,2,1,3
59,F_0x09,2,1,3
60,F_0x09,2,1,3
61,F_0x09,2,1,4
62,F_0x09,2,1,4
63,F_0x09,2,1,4
64,F_0x09,2,1,4
65,F_0x09,2,1,4
67,F_0x09,1,1,1
68,F_0x09,1,1,1
69,F_0x09,1,1,1
70,F_0x09,1,1,1
71,F_0x09,2,1,1
72,F_0x09,2,1,1
73,F_0x09,2,1,1
74,F_0x09,2,1,1
75,F_0x09,2,1,1
76,F_0x09,2,1,1
77,F_0x09,2,1,1
78,F_0x09,2,1,3
79,F_0x09,2,1,3
80,F_0x09,2,1,3
81,F_0x09,2,1,3
82,F_0x09,2,1,3
83,F_0x09,2,1,3
84,F_0x09,2,1,3
85,F_0x09,2,1,3
86,F_0x09,2,1,3
87,F_0x09,2,1,3
88,F_0x09,2,1,3
89,F_0x09,2,1,4
90,F_0x09,2,1,4
91,F_0x09,2,1,4
92,F_0x09,2,1,4
93,F_0x09,2,1,4
95,F_0x09,1,1,1
96,F_0x09,1,1,1
97,F_0x09,1,1,1
98,F_0x09,1,1,1
99,F_0x09,2,1,1
100,F_0x09,2,1,1
101,F_0x09,2,1,1
102,F_0x09,2,1,1
103,F_0x09,2,1,1
104,F_0x09,2,1,1
105,F_0x09,2,1,1
106,F_0x09,2,1,3
107,F_0x09,2,1,3
108,F_0x09,2,1,3
109,F_0x09,2,1,3
110,F_0x09,2,1,3
111,F_0x09,2,1,3
112,F_0x09,2,1,3
113,F_0x09,2,1,3
114,F_0x09,2,1,3
115,F_0x09,2,1,3
116,F_0x09,2,1,3
117,F_0x09,2,1,5
